clip_id,filename,duration_s,resolution,fps,codec,pix_fmt,file_size_mb,short_lt_5s,long_gt_15s,below_vjepa2_min,portrait
IMG_1165,IMG_1165.mov,0.150,2160x3840,60.00,h264,yuvj420p,0.8,TRUE,FALSE,TRUE,TRUE
IMG_1103,IMG_1103.mov,0.483,2160x3840,60.00,h264,yuvj420p,2.0,TRUE,FALSE,FALSE,TRUE
IMG_1128,IMG_1128.mov,0.917,2160x3840,60.00,h264,yuvj420p,4.7,TRUE,FALSE,FALSE,TRUE
IMG_1050,IMG_1050.mov,0.950,1080x1920,60.00,h264,yuvj420p,2.1,TRUE,FALSE,FALSE,TRUE
IMG_1024,IMG_1024.mov,1.833,2160x3840,30.00,h264,yuvj420p,2.9,TRUE,FALSE,FALSE,TRUE
IMG_1088,IMG_1088.mov,2.118,2160x3840,59.95,h264,yuvj420p,10.0,TRUE,FALSE,FALSE,TRUE
IMG_1025,IMG_1025.mov,2.333,2160x3840,30.00,h264,yuvj420p,4.3,TRUE,FALSE,FALSE,TRUE
IMG_1106,IMG_1106.mov,2.752,2160x3840,59.96,h264,yuvj420p,13.1,TRUE,FALSE,FALSE,TRUE
IMG_1022,IMG_1022.mov,3.252,1080x1920,59.97,h264,yuvj420p,6.6,TRUE,FALSE,FALSE,TRUE
IMG_1077,IMG_1077.mov,3.468,1080x1920,59.97,h264,yuvj420p,7.4,TRUE,FALSE,FALSE,TRUE
IMG_1149,IMG_1149.mov,3.735,2160x3840,59.97,h264,yuvj420p,17.6,TRUE,FALSE,FALSE,TRUE
IMG_1129,IMG_1129.mov,4.985,2160x3840,59.98,h264,yuvj420p,23.5,TRUE,FALSE,FALSE,TRUE
IMG_1146,IMG_1146.mov,5.085,2160x3840,59.98,h264,yuvj420p,24.0,FALSE,FALSE,FALSE,TRUE
IMG_1059,IMG_1059.mov,5.135,1080x1920,59.98,h264,yuvj420p,10.5,FALSE,FALSE,FALSE,TRUE
IMG_1049,IMG_1049.mov,5.152,1080x1920,59.98,h264,yuvj420p,10.8,FALSE,FALSE,FALSE,TRUE
IMG_1163,IMG_1163.mov,5.152,2160x3840,59.98,h264,yuvj420p,24.5,FALSE,FALSE,FALSE,TRUE
IMG_1085,IMG_1085.mov,5.587,2160x3840,59.96,h264,yuvj420p,26.6,FALSE,FALSE,FALSE,TRUE
IMG_1076,IMG_1076.mov,5.887,1080x1920,59.97,h264,yuvj420p,12.2,FALSE,FALSE,FALSE,TRUE
IMG_1041,IMG_1041.mov,5.937,1080x1920,59.97,h264,yuvj420p,12.3,FALSE,FALSE,FALSE,TRUE
IMG_1053,IMG_1053.mov,6.470,1080x1920,59.97,h264,yuvj420p,13.3,FALSE,FALSE,FALSE,TRUE
IMG_1064,IMG_1064.mov,6.903,1080x1920,59.97,h264,yuvj420p,13.9,FALSE,FALSE,FALSE,TRUE
IMG_1133,IMG_1133.mov,7.087,2160x3840,59.97,h264,yuvj420p,33.3,FALSE,FALSE,FALSE,TRUE
IMG_1137,IMG_1137.mov,7.170,2160x3840,59.97,h264,yuvj420p,33.9,FALSE,FALSE,FALSE,TRUE
IMG_1167,IMG_1167.mov,7.170,2160x3840,59.97,h264,yuvj420p,33.9,FALSE,FALSE,FALSE,TRUE
IMG_1164,IMG_1164.mov,7.770,2160x3840,59.97,h264,yuvj420p,37.0,FALSE,FALSE,FALSE,TRUE
IMG_1115,IMG_1115.mov,7.837,2160x3840,59.97,h264,yuvj420p,36.7,FALSE,FALSE,FALSE,TRUE
IMG_1017,IMG_1017.mov,7.903,1080x1920,59.97,h264,yuvj420p,16.4,FALSE,FALSE,FALSE,TRUE
IMG_1044,IMG_1044.mov,7.937,1080x1920,59.97,h264,yuvj420p,16.0,FALSE,FALSE,FALSE,TRUE
